"county","tract","cbsa","cntyname","cbsaname","hus10","afact","AFACT2"
"06001","4282.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2762,1,0.002
"06001","4283.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2536,1,0.001
"06001","4283.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2728,1,0.002
"06001","4284.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2013,1,0.001
"06001","4285.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1558,1,0.001
"06001","4286.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1638,1,0.001
"06001","4287.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1550,1,0.001
"06001","4301.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2269,1,0.001
"06001","4301.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",924,1,0.001
"06001","4302.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2525,1,0.001
"06001","4303.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1354,1,0.001
"06001","4304.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",765,1,0
"06001","4305.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2138,1,0.001
"06001","4306.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2180,1,0.001
"06001","4307.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1398,1,0.001
"06001","4308.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2214,1,0.001
"06001","4309.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1899,1,0.001
"06001","4310.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1231,1,0.001
"06001","4311.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1390,1,0.001
"06001","4312.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2691,1,0.002
"06001","4321.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1498,1,0.001
"06001","4322.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1784,1,0.001
"06001","4323.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1728,1,0.001
"06001","4324.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1923,1,0.001
"06001","4325.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1517,1,0.001
"06001","4325.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1466,1,0.001
"06001","4326.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",3073,1,0.002
"06001","4327.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1080,1,0.001
"06001","4328.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1497,1,0.001
"06001","4330.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1478,1,0.001
"06001","4331.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1386,1,0.001
"06001","4331.03","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1547,1,0.001
"06001","4331.04","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1903,1,0.001
"06001","4332.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2843,1,0.002
"06001","4333.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2240,1,0.001
"06001","4334.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2333,1,0.001
"06001","4335.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1425,1,0.001
"06001","4336.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2164,1,0.001
"06001","4337.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1076,1,0.001
"06001","4338.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2573,1,0.001
"06001","4339.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2352,1,0.001
"06001","4340.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1795,1,0.001
"06001","4351.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1648,1,0.001
"06001","4351.03","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2130,1,0.001
"06001","4351.04","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2096,1,0.001
"06001","4352.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1429,1,0.001
"06001","4353.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1738,1,0.001
"06001","4354.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2161,1,0.001
"06001","4355.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1515,1,0.001
"06001","4356.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1611,1,0.001
"06001","4356.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1746,1,0.001
"06001","4357.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1527,1,0.001
"06001","4358.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1666,1,0.001
"06001","4359.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1696,1,0.001
"06001","4360.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1474,1,0.001
"06001","4361.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1800,1,0.001
"06001","4362.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1287,1,0.001
"06001","4363.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2290,1,0.001
"06001","4364.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",3042,1,0.002
"06001","4364.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1051,1,0.001
